title,longitude,latitude,coord_type,metrotype,type2,category,category_en,url,ak,geotable_id
积水潭,116.38033,39.95481,3,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station295155.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
黄寺总政大院,116.39992,39.96316,3,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289536.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
新街口,116.37415,39.94658,3,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station295171.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
力学胡同,116.38847,39.91711,3,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289033.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
北京一四二中学,116.4145,39.96252,3,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289093.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
报子胡同,116.37306,39.93302,3,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station288888.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
马尾沟,116.372286873,39.941193373,3,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289120.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
天安门西,116.39973,39.9138,3,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station288790.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
德胜门外,116.38588,39.95921,3,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station288839.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
甘石桥,116.38023,39.92161,3,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289155.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
南河沿,116.41308,39.91398,3,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station288938.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
石碑胡同,116.39704,39.91367,3,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station288939.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
王府井路口北,116.41793,39.91489,3,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289878.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
北小街豁口,116.43049,39.95558,3,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station288995.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
和平里中街西口,116.41607,39.96323,3,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289981.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
东直门北小街北口,116.43186,39.9545,3,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station291223.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
东四十条桥西,116.43895,39.93967,3,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289396.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
东四十条桥,116.43905,39.93965,3,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289394.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
东直门内,116.43727,39.94722,3,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289173.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
王府井,116.41877,39.9144,3,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station288937.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990
