title,longitude,latitude,coord_type,metrotype,type2,category,category_en,url,ak,geotable_id,poiID
"雍和宫桥东(东行)",116.42452,39.95538,32,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station290013.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934139047
"雍和宫桥东(西行)",116.42452,39.95538,5,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station290012.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934139062
"雍和宫桥东",116.42454,39.95538,31,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289021.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934139078
"东直门北小街南口",116.43199,39.94766,9,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station291224.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934139094
"德胜门西",116.38382,39.95509,34,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289246.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934139104
"缸瓦市",116.38009,39.92562,8,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289154.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934139113
"德胜门",116.38336,39.95489,33,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station288838.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934139129
"宝产胡同",116.37474,39.94006,11,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station288890.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934139168
"米市大街",116.42428,39.92079,36,1,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289899.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934139196
"安德路西口",116.38699,39.95755,10,3,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289241.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934139229
"祖家街",116.37427,39.93618,35,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station288889.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934139253
"地铁新街口站",116.37508,39.94463,13,2,2,公交,bus,http://bus.bj.bendibao.com/zhandian/station289429.htm,Ow5fqi6DQXmgD5PGSB7QBdHF,106990,934139271
